Stress_Level,Sector,Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid
Low,Retail,1,1,6.392,26.845,1,0,0,1,1,1,0,1,1
Low,IT,1,1,9.171,33.392,1,0,1,0,1,1,0,1,1
Medium,Retail,1,0,10.612,2.218,0,0,0,0,0,0,0,0,1
Medium,Education,1,1,5.546,5.15,0,0,0,0,1,0,0,0,1
Medium,Education,0,1,11.424,31.211,1,0,1,1,1,0,1,1,1
Low,IT,1,1,7.742,5.829,1,1,0,1,1,1,0,1,1
Medium,IT,0,0,6.049,7.695,0,0,0,1,0,1,0,1,1
High,Healthcare,1,1,9.515,3.144,0,1,0,0,1,1,0,1,1
Medium,Education,1,1,7.107,31.351,0,1,1,0,0,0,0,1,1
High,Education,1,1,7.836,650.741,0,1,0,1,1,1,0,1,1
Medium,IT,0,1,7.191,21.876,0,0,0,1,1,1,0,1,1
Medium,Education,0,1,63.665,570.49,0,0,0,0,0,1,0,1,1
Medium,Healthcare,1,1,9.447,31.188,1,0,0,0,1,1,1,1,1
Medium,Retail,0,1,74.273,2.014,1,1,0,1,1,1,0,1,1
Medium,IT,0,1,5.126,6.558,1,0,0,0,0,0,0,1,1
High,Healthcare,0,0,9.102,5.384,1,0,1,0,0,0,0,1,1
Medium,IT,1,0,5.588,5.38,0,0,0,1,1,0,1,1,1
Medium,Healthcare,1,1,5.693,4.551,0,0,0,1,1,0,0,1,1
High,Retail,1,0,10.385,489.865,1,1,0,0,1,1,0,1,1
High,Healthcare,0,1,5.607,21.517,1,0,0,0,0,0,0,1,1
Medium,Healthcare,1,0,3.367,4.167,1,0,0,1,0,0,1,1,1
Low,Education,0,0,924.572,26.068,0,0,0,0,1,0,0,1,1
High,Healthcare,0,1,7.392,1.916,0,0,1,1,1,0,1,0,1
Medium,IT,1,0,7.564,4.616,0,0,0,0,0,1,1,0,1
Medium,IT,1,1,73.709,57.372,0,0,0,0,1,1,0,0,1
High,Education,1,0,8.463,34.249,0,1,0,1,0,1,1,1,1
High,Education,0,1,6.494,3.681,1,1,0,0,1,0,0,1,1
Medium,Education,1,1,1.095,229.277,0,0,1,0,0,1,0,1,1
Medium,Retail,1,1,5.047,4.01,1,1,0,1,0,0,0,1,1
High,IT,0,1,8.889,5.14,1,0,1,0,1,0,0,1,1
Medium,Education,1,0,9.284,51.872,1,0,1,0,1,0,0,1,1
Medium,Retail,0,1,6.48,4.817,1,0,0,1,0,1,0,1,1
High,IT,0,1,5.952,3.072,0,0,1,1,0,1,0,1,1
Medium,Education,1,1,10.034,30.248,1,0,0,1,0,1,0,0,1
High,Retail,0,1,601.827,51.931,1,0,1,0,1,0,0,0,1
High,IT,1,1,6.786,5.217,0,0,0,0,0,1,0,1,1
High,Retail,1,1,9.774,37.42,1,0,0,1,0,1,1,0,1
High,Healthcare,0,1,8.069,33.607,0,0,0,0,0,1,0,1,1
Medium,IT,1,1,4.405,575.087,0,0,0,1,1,1,0,1,1
High,Education,1,0,11.494,346.007,1,0,1,0,0,1,0,0,1
High,Education,1,1,6.939,5.118,1,0,0,0,1,1,0,1,1
High,Education,1,0,7.194,37.947,0,1,1,0,1,1,0,1,1
High,IT,0,1,851.156,24.287,1,1,1,0,1,1,0,1,1
High,Education,1,1,9.25,6.418,0,0,0,0,1,0,0,0,1
Low,Healthcare,0,1,11.922,4.18,1,0,0,1,1,0,1,1,1
Low,Healthcare,1,1,4.679,29.338,1,0,0,0,0,1,0,1,1
Low,Retail,1,1,9.651,1.913,1,1,1,1,0,1,1,1,1
Low,IT,1,0,9.486,206.499,1,0,0,0,0,0,0,0,1
Low,Education,1,1,7.725,3.44,1,0,0,0,1,0,0,0,1
Low,IT,0,1,9.574,6.887,1,1,0,1,1,0,1,0,1
High,Healthcare,1,1,9.868,3.123,0,0,1,0,1,0,0,1,1
Medium,Healthcare,1,1,5.236,6.171,0,0,0,1,1,0,0,1,1
Medium,Education,1,1,1.149,3.803,0,1,1,1,1,1,0,1,1
High,Healthcare,1,1,48.824,22.282,1,1,0,0,0,0,1,0,1
Low,Retail,1,1,5.729,3.29,1,0,1,0,0,0,0,1,1
Medium,Healthcare,1,1,7.476,20.785,1,1,1,0,0,0,0,1,1
Low,Healthcare,0,1,11.849,27.16,1,0,0,1,1,1,0,1,1
Low,Retail,0,1,7.383,26.713,1,0,0,1,0,0,1,0,1
High,Education,0,1,7.936,11.442,1,0,1,1,1,1,0,1,1
High,Education,0,1,10.864,6.269,0,0,1,1,1,0,0,0,1
High,IT,1,1,7.399,4.316,0,0,1,1,0,0,0,1,1
High,IT,0,0,5.643,29.705,0,0,1,0,0,1,1,0,1
Low,Healthcare,1,1,7.165,4.332,1,1,1,0,1,1,0,0,1
High,Retail,1,1,10.741,27.467,0,0,0,1,1,1,0,1,1
High,Education,0,0,8.141,6.592,1,0,1,1,1,0,0,1,1
High,Retail,1,1,1.186,8.435,0,0,0,0,0,0,0,0,1
Medium,Education,0,1,947.586,428.439,0,0,0,1,0,0,0,0,1
Medium,Healthcare,1,1,6.71,31.164,1,0,0,0,1,1,0,0,1
Medium,IT,0,1,8.102,10.991,0,0,1,0,1,1,0,1,1
Medium,Retail,1,1,6.293,175.877,1,0,1,0,1,0,0,1,1
Medium,Retail,1,1,666.313,6.481,1,0,0,1,0,0,0,0,1
Low,Education,0,1,16.958,6.252,1,1,1,0,0,1,0,0,1
Medium,Healthcare,0,1,10.037,5.129,1,1,1,1,0,1,0,1,1
