State,Population,Confirmed,Active,Deaths
Total,,2025409,605933,41638
Maharashtra,123144223.0,479779,146305,16792
Tamil Nadu,77841267.0,279144,53486,4571
Delhi,19814000.0,141531,10348,4059
Karnataka,67562686.0,158254,75067,2897
Andhra Pradesh,53903393.0,196789,82166,1753
Uttar Pradesh,241066874.0,108974,43654,1918
Gujarat,63872399.0,67811,14708,2579
West Bengal,99609303.0,86754,23829,1902
Telangana,39362732.0,73050,20358,589
Rajasthan,81032689.0,48996,13108,757
Bihar,124799926.0,68148,23939,388
Haryana,28672000.0,39303,6205,458
Assam,35607039.0,52818,15464,126
Madhya Pradesh,85358965.0,36564,8716,946
Jammu and Kashmir,13606320.0,23454,7310,436
Kerala,35699443.0,30449,11983,98
Punjab,30141373.0,20891,6715,517
Jharkhand,38593948.0,15756,9017,145
Chhattisgarh,29436231.0,11020,2855,77
Goa,1569923.0,7614,2095,66
Tripura,4169794.0,5740,1898,31
Puducherry,1627603.0,4621,1743,70
Manipur,3091545.0,3217,1304,8
Himachal Pradesh,7400000.0,3047,1141,13
Ladakh,307000.0,1595,411,7
Nagaland,2249695.0,2580,1752,6
Arunachal Pradesh,1570458.0,1948,700,3
Chandigarh,1189200.0,1327,529,20
Dadra and Nagar Haveli and Daman and Diu,837000.0,1415,406,2
Meghalaya,3366710.0,990,640,5
Sikkim,690251.0,829,475,1
Andaman and Nicobar Islands,434000.0,1123,752,16
State Unassigned,,0,0,0
Lakshadweep,64473.0,0,0,0
Orissa,46356334.0,140752,42040,2916
Uttarakhand,11250858.0,34161,10203,707
Mizoram,1239244.0,3762,1123,77
